[2026-02-27 17:33:47] === BOT STARTED ===
[2026-02-27 17:33:53] TEXT received | Data: {"chat_id":1805353005,"text":"d"}
[2026-02-27 17:33:56] TEXT received | Data: {"chat_id":1805353005,"text":"📝 Оставить резюме"}
[2026-02-27 17:33:56] Resume button clicked | Data: {"chat_id":1805353005}
[2026-02-27 17:33:59] TEXT received | Data: {"chat_id":1805353005,"text":"🇷🇺 Русский"}
[2026-02-27 17:33:59] Language selected: RU | Data: {"chat_id":1805353005}
[2026-02-27 17:34:01] TEXT received | Data: {"chat_id":1805353005,"text":"sd"}
[2026-02-27 17:34:01] Calling RuInfoHandler | Data: {"chat_id":1805353005,"step":1}
[2026-02-27 17:34:02] RuInfoHandler completed | Data: {"chat_id":1805353005,"result":true,"user_still_exists":true}
[2026-02-27 17:34:02] State after handler | Data: {"chat_id":1805353005,"new_step":2,"has_region_id":false,"has_city_id":false}
[2026-02-27 17:34:03] TEXT received | Data: {"chat_id":1805353005,"text":"23"}
[2026-02-27 17:34:03] Calling RuInfoHandler | Data: {"chat_id":1805353005,"step":2}
[2026-02-27 17:34:04] RuInfoHandler completed | Data: {"chat_id":1805353005,"result":true,"user_still_exists":true}
[2026-02-27 17:34:04] State after handler | Data: {"chat_id":1805353005,"new_step":3,"has_region_id":false,"has_city_id":false}
[2026-02-27 17:34:06] CONTACT received | Data: {"chat_id":1805353005}
[2026-02-27 17:34:24] PHOTO received | Data: {"chat_id":1805353005,"photo_count":4}
[2026-02-27 17:34:27] State after photo | Data: {"chat_id":1805353005,"new_step":5}
[2026-02-27 17:34:29] TEXT received | Data: {"chat_id":1805353005,"text":"Бухарская область"}
[2026-02-27 17:34:29] === CITY SELECTION PROCESS === | Data: {"chat_id":1805353005,"step":5,"user_text":"Бухарская область","has_region_id":false,"region_id":null,"full_state":{"state":"waiting_for_name","step":5,"language":"ru","name":"sd","age":23,"phone":"998902333880","photo_file_id":"AgACAgIAAxkBAAIOTWmh1Z9PsN5iatJSBnHjkPLw1J37AAKhGGsbgukQSe9SeknKEPVWAQADAgADeQADOgQ","photo_filename":"1805353005_1772213667.jpg"}}
[2026-02-27 17:34:29] Regions loaded | Data: {"count":14,"searching_for":"Бухарская область"}
[2026-02-27 17:34:29] Region found | Data: {"region_id":4,"region_name":"Бухарская область"}
[2026-02-27 17:34:29] Calling RuInfoHandler | Data: {"chat_id":1805353005,"step":5}
[2026-02-27 17:34:29] RuInfoHandler completed | Data: {"chat_id":1805353005,"result":true,"user_still_exists":true}
[2026-02-27 17:34:29] State after handler | Data: {"chat_id":1805353005,"new_step":6,"has_region_id":true,"has_city_id":false}
[2026-02-27 17:34:30] TEXT received | Data: {"chat_id":1805353005,"text":"Галляарал"}
[2026-02-27 17:34:30] === CITY SELECTION PROCESS === | Data: {"chat_id":1805353005,"step":6,"user_text":"Галляарал","has_region_id":true,"region_id":4,"full_state":{"state":"waiting_for_name","step":6,"language":"ru","name":"sd","age":23,"phone":"998902333880","photo_file_id":"AgACAgIAAxkBAAIOTWmh1Z9PsN5iatJSBnHjkPLw1J37AAKhGGsbgukQSe9SeknKEPVWAQADAgADeQADOgQ","photo_filename":"1805353005_1772213667.jpg","region_id":4}}
[2026-02-27 17:34:30] Cities loaded for region | Data: {"region_id":4,"cities_count":10,"searching_for":"Галляарал"}
[2026-02-27 17:34:30] City found | Data: {"city_id":403,"city_name":"Галляарал"}
[2026-02-27 17:34:30] Calling RuInfoHandler | Data: {"chat_id":1805353005,"step":6}
[2026-02-27 17:34:31] RuInfoHandler completed | Data: {"chat_id":1805353005,"result":true,"user_still_exists":true}
[2026-02-27 17:34:31] State after handler | Data: {"chat_id":1805353005,"new_step":7,"has_region_id":true,"has_city_id":true}
[2026-02-27 17:34:32] TEXT received | Data: {"chat_id":1805353005,"text":"Senior Developer"}
[2026-02-27 17:34:32] Calling RuInfoHandler | Data: {"chat_id":1805353005,"step":7}
[2026-02-27 17:34:32] RuInfoHandler completed | Data: {"chat_id":1805353005,"result":true,"user_still_exists":true}
[2026-02-27 17:34:32] State after handler | Data: {"chat_id":1805353005,"new_step":8,"has_region_id":true,"has_city_id":true}
[2026-02-27 17:34:36] TEXT received | Data: {"chat_id":1805353005,"text":"✅ Да, отправить"}
[2026-02-27 17:34:36] Calling RuInfoHandler | Data: {"chat_id":1805353005,"step":8}
[2026-02-27 17:34:36] RuInfoHandler completed | Data: {"chat_id":1805353005,"result":true,"user_still_exists":false}
[2026-02-27 17:34:36] User state removed (process completed?) | Data: {"chat_id":1805353005}
[2026-02-27 17:35:48] TEXT received | Data: {"chat_id":1805353005,"text":"zxc"}
[2026-02-27 17:35:50] TEXT received | Data: {"chat_id":1805353005,"text":"23"}
